T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
DePauw2022,Anderson (IN)2022,89,81,59,33,61,30,0.5593220339,0.4918032787,1,8
DePauw2022,Rose-Hulman2022,80,75,57,30,73,30,0.5263157895,0.4109589041,1,5
DePauw2022,Franklin2022,62,63,49,23,59,25,0.4693877551,0.4237288136,0,-1
DePauw2022,Westminster (MO)2022,73,63,59,25,66,25,0.4237288136,0.3787878788,1,10
DePauw2022,Webster2022,79,61,66,29,55,23,0.4393939394,0.4181818182,1,18
DePauw2022,Earlham2022,80,63,55,30,64,25,0.5454545455,0.390625,1,17
DePauw2022,Benedictine (IL)2022,67,57,57,22,74,23,0.3859649123,0.3108108108,1,10
DePauw2022,Denison2022,82,60,53,32,51,20,0.6037735849,0.3921568627,1,22
DePauw2022,Wooster2022,54,68,49,16,60,27,0.3265306122,0.45,0,-14
DePauw2022,Wittenberg2022,50,60,53,17,56,24,0.320754717,0.4285714286,0,-10
DePauw2022,Kenyon2022,69,67,53,26,56,26,0.4905660377,0.4642857143,1,2
DePauw2021,Benedictine (IL)2021,71,73,66,25,59,29,0.3787878788,0.4915254237,0,-2
DePauw2021,Earlham2021,67,58,57,24,60,24,0.4210526316,0.4,1,9
DePauw2021,Kenyon2021,81,64,57,31,53,25,0.5438596491,0.4716981132,1,17
DePauw2021,Rose-Hulman2021,72,66,52,25,63,26,0.4807692308,0.4126984127,1,6
DePauw2021,Denison2021,74,83,64,27,53,28,0.421875,0.5283018868,0,-9
DePauw2021,Wooster2021,59,73,62,22,56,29,0.3548387097,0.5178571429,0,-14
DePauw2021,Wittenberg2021,69,77,59,26,54,26,0.4406779661,0.4814814815,0,-8
DePauw2021,Oberlin2021,63,52,55,24,54,21,0.4363636364,0.3888888889,1,11
DePauw2021,Augsburg2021,68,82,61,26,60,31,0.4262295082,0.5166666667,0,-14
DePauw2021,Salisbury2021,87,75,57,31,61,29,0.5438596491,0.4754098361,1,12
DePauw2021,Ohio Wesleyan2021,63,70,54,19,57,25,0.3518518519,0.4385964912,0,-7
DePauw2021,Wabash2021,70,96,59,23,64,36,0.3898305085,0.5625,0,-26
DePauw2021,Wooster2021,69,78,54,22,61,31,0.4074074074,0.5081967213,0,-9
DePauw2021,Denison2021,75,72,59,29,55,27,0.4915254237,0.4909090909,1,3
DePauw2021,Kenyon2021,81,50,56,27,65,20,0.4821428571,0.3076923077,1,31
DePauw2021,Hiram2021,61,66,60,22,57,24,0.3666666667,0.4210526316,0,-5
DePauw2021,Hiram2021,66,54,49,19,56,22,0.387755102,0.3928571429,1,12
DePauw2021,Allegheny2021,73,68,60,25,56,24,0.4166666667,0.4285714286,1,5
DePauw2021,Wittenberg2021,75,67,59,26,48,24,0.4406779661,0.5,1,8
DePauw2021,Oberlin2021,57,71,54,21,49,28,0.3888888889,0.5714285714,0,-14
